datetime,open,high,low,close,returns,log_ma_7,log_ma_14,log_ma_28,ema_crossover,macdh
2019-10-31,179.16000366210938,179.24000549316406,175.5,176.6699981689453,-0.004844255147101628,0.005543032966506292,0.0015301639330010562,-6.456567455418425e-05,1.0152529176814955,0.7351140411489107
2019-11-01,179.00999450683594,182.1199951171875,176.05999755859375,176.4600067138672,-0.0011886084635451821,0.005317870907607523,0.002170212082967144,0.001022156225879228,1.0171970982808887,0.6307247823478799
2019-11-04,180.66000366210935,182.3999938964844,178.02000427246094,179.69000244140625,0.018304406690727193,0.005773631593776967,0.0017981170232040879,0.0006302590783344004,1.020426705310348,0.7318282123264539
2019-11-05,181.4199981689453,183.1999969482422,180.30999755859375,182.0,0.012855459553722248,0.006181321018178117,0.0019904988378595507,0.0014545275773561177,1.023987952002236,0.8960503513240541
2019-11-06,183.61000061035156,185.0,182.1999969482422,184.16000366210935,0.011868151989611775,0.004381702251598126,0.0029742723173472475,0.0037677646157820268,1.0282948174558737,1.0796107383681637
2019-11-07,187.07000732421875,188.07000732421875,184.69000244140625,186.66000366210935,0.013575151771754612,0.007764578986317549,0.0070967211871264795,0.004011192083425709,1.0341219614435366,1.2849065465708718
2019-11-08,187.90199279785156,188.27999877929688,185.1499938964844,187.16000366210935,0.0026786670427001447,0.007594767328369834,0.005487290987915097,0.0045244640658618305,1.0373478263274978,1.3624998606046503
2019-11-11,184.82000732421875,187.1999969482422,181.3699951171875,186.7100067138672,-0.002404343553308319,0.007857178647465952,0.006725391905953214,0.0042855897559284225,1.0353059047432218,1.2922521569048229
2019-11-12,185.91000366210935,187.6499938964844,185.13999938964844,186.97000122070312,0.0013925044051568136,0.008159376924069858,0.0067715026488258685,0.0035654887904869566,1.0349761483084141,1.1753877600850728
2019-11-13,185.47000122070312,185.6739959716797,181.0,182.47999572753903,-0.02401457701154952,0.0021548600897677785,0.003922724871792937,0.002467390516736895,1.02995905427234,0.7296182983281141
2019-11-14,182.8699951171875,184.5,181.3209991455078,182.8000030517578,0.0017536570128846574,0.0006170292217437206,0.003341715824717292,0.0029350431518131094,1.0249742033300193,0.40636631885276486
2019-11-15,184.0,185.6000061035156,183.7100067138672,185.4900054931641,0.014715549214977974,0.001024966710525399,0.0026724131166977138,0.004757195259386291,1.0237523245390516,0.327172687224234
2019-11-18,186.97999572753903,186.97999572753903,184.16000366210935,184.61000061035156,-0.004744217244874505,-0.001580274697471513,0.003020902514611297,0.0039043069339053217,1.023684386206332,0.17652634088336727
2019-11-19,186.30999755859375,186.7100067138672,183.8699951171875,185.25,0.0034667644630979044,-0.0014746048002616233,0.0030118041410099805,0.003841150367358131,1.0227654718713337,0.08559273005927004
2019-11-20,183.6699981689453,183.6999969482422,181.05999755859375,182.3500061035156,-0.015654487970226172,-0.003374277127652127,0.002210163687681483,0.0018791468502370049,1.0176654612251137,-0.1892563894274346
2019-11-21,181.77000427246097,184.88999938964844,181.6000061035156,184.86000061035156,0.013764707555924627,-0.0016370620276250137,0.0032596173119298255,0.0027295469086754858,1.0148621790924937,-0.21928796692351993
2019-11-22,185.8000030517578,186.77999877929688,183.93499755859375,186.77999877929688,0.010386228294958721,0.0033333645916430133,0.002743028085297995,0.002283504114375223,1.0162222026338326,-0.13145073339782387
2019-11-25,188.32000732421875,190.72000122070312,187.8800048828125,190.4499969482422,0.019648774991597673,0.005902949571607201,0.0032593975088023247,0.002642664527789267,1.0213899043979615,0.13764032894451006
2019-11-26,190.38999938964844,195.0,189.0399932861328,194.6999969482422,0.022315568748236814,0.007060767396473918,0.0040507331304706256,0.00352784759713263,1.0278938079364528,0.5429322332954793
2019-11-27,197.2400054931641,200.97999572753903,197.0,200.82000732421875,0.03143302759066535,0.012307455584424054,0.005416274853373334,0.006232670144787762,1.040049260093581,1.1304483565555001
2019-11-29,199.80999755859375,200.42999267578125,198.3500061035156,200.0,-0.004083294962213935,0.011068825269320208,0.004886131924949657,0.005178358641665135,1.0470282462951142,1.355908287001815
2019-12-02,198.5800018310547,198.6699981689453,193.5099945068359,196.30999755859375,-0.01845001220703124,0.010364319415648507,0.0036376456010226293,0.005140038755189786,1.0460475146673944,1.156372655072543
2019-12-03,190.97000122070312,195.0,189.8500061035156,194.8999938964844,-0.007182536190947109,0.007388140016127655,0.002994899071490364,0.004835705230531595,1.0387302035234716,0.8437866141320898
2019-12-04,195.52999877929688,196.66000366210935,193.22999572753903,193.7400054931641,-0.005951710824251832,0.0050898187605373305,0.004237186521795842,0.004083774450497817,1.0359550124263015,0.49076127312439777
2019-12-05,196.92999267578125,200.94000244140625,196.42999267578125,200.0,0.03231131583227298,0.00694197580559957,0.006437966014929078,0.004928760345076799,1.038197358840738,0.6033029646772485
2019-12-06,201.11000061035156,202.0,199.5099945068359,201.88999938964844,0.009449996948242223,0.00519485616510156,0.006100163183333932,0.004432167925632326,1.0417640898671476,0.7214955025036209
2019-12-09,200.32000732421875,203.42999267578125,198.5500030517578,198.7400054931641,-0.015602525662525957,-0.0015000520812926662,0.005226136907928039,0.00415458793785796,1.0415752817568869,0.5137490017909663
2019-12-10,200.7100067138672,202.47999572753903,199.22999572753903,200.4499969482422,0.00860416326765634,0.00032471881115821356,0.005591558426850378,0.004339567629536888,1.0408419586472755,0.42158261449163437
2019-12-11,201.1000061035156,204.8000030517578,200.72000122070312,204.63999938964844,0.020902980819142325,0.005991984402294995,0.00814359410642143,0.005270325567887645,1.0419030387920862,0.5639987527746664
2019-12-12,203.7100067138672,206.0,202.0,204.5,-0.0006841252446539992,0.006861290874691289,0.00712087393156342,0.005255779687146846,1.0429018141961954,0.5683649157467698
2019-12-13,205.7599945068359,207.1000061035156,203.77000427246097,204.91000366210935,0.0020049078831752,0.007924583165734219,0.006528688227056175,0.004703723351984633,1.0439443005905464,0.5197796384330555
2019-12-16,206.3300018310547,209.1499938964844,206.19000244140625,206.97000122070312,0.010053181991010351,0.004913253571308906,0.005912032794932662,0.004635400654867696,1.0455292163986267,0.544666417558691
2019-12-17,208.69000244140625,208.8699951171875,206.82000732421875,208.17999267578125,0.005846216591494535,0.004413278757832296,0.0047983389395678585,0.004438856455968473,1.0463818573576966,0.5588126434875704
2019-12-18,208.52999877929688,210.0500030517578,208.0399932861328,210.0,0.008742469921464657,0.007852088803732952,0.0032545807975731017,0.004294402035372731,1.0468044963279854,0.6031414708226635
2019-12-19,209.61000061035156,211.3699951171875,209.22999572753903,210.1300048828125,0.0006190708705358094,0.006701357693602881,0.0035791377589033816,0.004208395899986573,1.0468432239292527,0.5548376885345299
2019-12-20,211.3500061035156,213.97999572753903,210.4199981689453,212.25,0.010088969056893049,0.005236965589357774,0.005606118241193278,0.004658550889611691,1.0478577013894628,0.5767376856656563
2019-12-23,213.25,215.0500030517578,212.91000366210935,214.8300018310547,0.01215548565867941,0.007065186684546368,0.006965481514590884,0.005057098240319656,1.0495291008804082,0.6695340695976997
2019-12-24,215.0099945068359,215.42999267578125,213.3500061035156,214.2599945068359,-0.0026532947882532687,0.006352154656516213,0.007121341977427816,0.005737596117178004,1.049692866183306,0.5993501666295833
2019-12-26,214.6499938964844,216.9900054931641,214.3300018310547,216.3800048828125,0.009894569356525107,0.006352444821628967,0.0056484094218136735,0.006027012599137597,1.0496352758359322,0.600997138441123
2019-12-27,217.9900054931641,218.11000061035156,215.1699981689453,215.47000122070312,-0.004205581114586909,0.004893700356515905,0.004658798994892225,0.005350354103873289,1.049466305562983,0.45284176269225895
2019-12-30,215.77999877929688,215.77999877929688,211.7599945068359,212.91000366210935,-0.011880992918228084,0.0019467843410242143,0.004838176035455649,0.0050244051556376556,1.044762368743486,0.11222885349352474
2019-12-31,212.0,213.63999938964844,210.72999572753903,212.1000061035156,-0.003804412872394747,0.0013157772862691945,0.003960296611766147,0.004743746593668639,1.03829044170104,-0.21973209819099893
2020-01-02,216.6000061035156,219.97999572753903,216.5399932861328,219.77000427246097,0.03616217797373378,0.0050068043822645665,0.0051199835708196735,0.006573896839855374,1.0405639068163337,0.012806101519211133
2020-01-03,216.3500061035156,218.2030029296875,216.0099945068359,217.0,-0.012604105285573208,0.001440132280935932,0.004210305595527147,0.005612018076694778,1.0391737427692669,-0.07931435727923031
2020-01-06,214.88999938964844,217.16000366210935,214.08999633789065,216.63999938964844,-0.0016589889877952624,0.0015771233792636547,0.0039348917893949585,0.005185831118472539,1.035780379223813,-0.2161138899037276
2020-01-07,217.63999938964844,218.94000244140625,216.69000244140625,217.6300048828125,0.004569818574378104,0.0008273242383750361,0.0035625772430134175,0.004697125532134157,1.0350944744663397,-0.28709933993783654
2020-01-08,216.6000061035156,220.6499938964844,216.32000732421875,218.0,0.0017001107792407044,0.0016724117024862685,0.00327065673022477,0.004009111535938956,1.0338638646347618,-0.35202587971382204
2020-01-09,221.5,223.0800018310547,220.82000732421875,221.77999877929688,0.017339443941728705,0.0058413617822652,0.003909391716815013,0.0035927962278485912,1.0367220336617535,-0.19133044990668502
2020-01-10,223.8999938964844,225.9600067138672,222.06100463867188,223.8300018310547,0.00924340816593583,0.007672794531595355,0.004527435639826416,0.004069131528800687,1.0398809466717513,-0.007611665504429155
2020-01-13,228.80999755859375,231.13999938964844,227.0399932861328,230.47999572753903,0.029710020292559758,0.006954545334228945,0.0059928533602685375,0.005806012109030461,1.0469038036037823,0.4744848870807665
2020-01-14,230.0500030517578,230.1750030517578,224.8800048828125,226.4900054931641,-0.01731165527741374,0.006122188570443819,0.0038143150196495784,0.005337808777863441,1.0480645407964861,0.438226168987196
2020-01-15,226.6499938964844,227.82000732421875,224.38999938964844,225.05999755859375,-0.006313779415814014,0.005400702094103516,0.0035200525807273036,0.00526420369789216,1.0451645340877207,0.2413464350646759
2020-01-16,226.3000030517578,226.3300018310547,222.72999572753903,223.94000244140625,-0.004976429082631184,0.0040282848390657865,0.002456683512064986,0.004005185376574888,1.0407806346499098,-0.02665246243869479
2020-01-17,225.8999938964844,228.0,225.3500061035156,227.42999267578125,0.015584487792832613,0.005989996082342902,0.003874213285159712,0.004255253536627154,1.0390442849665669,-0.030919287089538727
2020-01-21,222.4499969482422,222.6000061035156,220.72999572753903,222.2599945068359,-0.02273226195067235,0.00030393904293366544,0.0030183336916555443,0.0039027464913419557,1.0315739197301212,-0.4222500410953396
2020-01-22,224.69000244140625,225.5800018310547,222.0,222.3699951171875,0.0004949186226503866,-0.0009247807330150191,0.003304859098485588,0.0036235933588806926,1.0280066922910511,-0.6977511822670763
2020-01-23,217.92999267578125,220.1300048828125,216.77000427246097,219.1300048828125,-0.014570267147182125,-0.0072184972317405425,-0.00020563154434157966,0.002388153246670669,1.0191633342691575,-1.098408614478723
2020-01-24,218.4900054931641,219.8300018310547,211.3249969482422,213.75,-0.024551657750793376,-0.00816509306184598,-0.0010448767456117788,0.0015215507915756332,1.0102106776787714,-1.690575700563632
2020-01-27,201.22000122070312,208.02000427246097,199.5,205.47000122070312,-0.03873683639437131,-0.012686800291031556,-0.003599507686444366,9.20408265265063e-05,0.9902853638671965,-2.5529526219446703
2020-01-28,209.7400054931641,210.91000366210935,207.1699981689453,210.22999572753903,0.02316637211542627,-0.00897554418596591,-0.00239179187104074,0.000535642390911355,0.9851786935849339,-2.7014840068721817
2020-01-29,212.55999755859375,213.97999572753903,209.52000427246097,212.02000427246097,0.008514524955048897,-0.01018558082984041,-0.0019370107249358094,0.0006305758942687987,0.985363754987421,-2.578184915557327
2020-01-30,207.8800048828125,209.86000061035156,205.02999877929688,208.5800018310547,-0.01622489563289331,-0.00912985785081176,-0.004289006257620658,-0.00023313437611246018,0.9809934743720461,-2.6188621680264514
2020-01-31,206.5,207.92999267578125,204.72799682617188,206.58999633789065,-0.009540730058943514,-0.010635959382628627,-0.00562955149098983,-0.0005814330543629061,0.9771738382476008,-2.661679912837461
2020-02-03,208.6699981689453,215.02000427246097,208.6699981689453,213.1000061035156,0.031511737649568605,-0.004094372236490553,-0.005707523486732301,0.00013964114179515748,0.9812374389620179,-2.155077076689944
2020-02-04,221.3500061035156,224.3800048828125,220.4900054931641,222.8800048828125,0.0458939394612039,0.00619277151739264,-0.0011896075906242878,0.0013215088505933855,0.997005150851118,-1.1170701060883705
2020-02-05,226.52000427246097,226.6999969482422,217.5399932861328,220.22000122070312,-0.011934689536228116,0.00992442091480737,-0.001597153293050313,0.0009772858651268686,1.0072127408617328,-0.5917492246087539
2020-02-06,223.1300048828125,223.6499938964844,219.77999877929688,220.8999938964844,0.0030877879938788766,0.007118321201152556,-0.0010044801016360783,0.0007405241687947007,1.0121935977343952,-0.20080876044428853
2020-02-07,217.4600067138672,217.83999633789065,214.8800048828125,216.52999877929688,-0.019782685549712298,0.0029936031499648874,-0.0036098949980461837,0.00017358341832882985,1.00890343894733,-0.23640982307213054
2020-02-10,213.5,215.77000427246097,212.1999969482422,215.77000427246097,-0.0035098808992769515,0.0047540595961436186,-0.0021555815973164326,0.00046819862372952096,1.003910668773191,-0.3065719535393734
2020-02-11,219.91000366210935,220.0099945068359,215.2899932861328,217.2100067138672,0.006673784181733922,0.0069809067443480834,-0.0017171575151079433,0.0008359912830334503,1.005136943782288,-0.2536208718146198
2020-02-12,221.1300048828125,225.52000427246097,220.2100067138672,224.30999755859375,0.03268721801606245,0.00731623262631752,0.0017238088666698052,0.0007421527835662794,1.0111397764651253,0.2355046934153382
2020-02-13,220.0,225.0,218.9900054931641,220.36000061035156,-0.01760954478727761,-0.001640030216060663,0.002195383465017177,0.0005489049171408699,1.0125180820345407,0.2666540354364215
2020-02-14,221.1000061035156,221.63999938964844,218.22999572753903,219.6300048828125,-0.0033127415389232473,-0.00038436118662634415,0.0046868115881542665,0.0004882076116052549,1.0119299854194055,0.2140050501534152
2020-02-18,218.5500030517578,220.8500061035156,217.5099945068359,220.52000427246097,0.004052266857269116,-0.0002476276770701898,0.003392155313452259,0.0004716522172325252,1.0103283501444602,0.2144893865432531
2020-02-19,221.52000427246097,223.55999755859375,220.75,222.13999938964844,0.0073462501623475784,0.003649651314909855,0.0033249238958154093,0.0006752667286484562,1.0120767875966403,0.2943490271100502
2020-02-20,222.5,222.5,214.22000122070312,218.0399932861328,-0.018456856553438317,0.0014729908707389367,0.0030981142669436633,-0.0006100046490946317,1.009742414520667,0.05406520034650164
2020-02-21,217.5399932861328,217.6000061035156,211.55999755859375,212.58999633789065,-0.024995400458897254,-0.0030002038034136745,0.0019600162997862117,-0.001835517005279352,1.00289997974708,-0.46055876169444776
2020-02-24,203.5500030517578,207.27999877929688,202.5099945068359,206.16000366210935,-0.030245979521827837,-0.011874405660358212,-0.0022674346936379956,-0.003983075908058501,0.9871441920426782,-1.181647698513192
2020-02-25,208.5099945068359,209.9499969482422,204.1000061035156,205.61000061035156,-0.002667845566491245,-0.00975494898850655,-0.0056648654436326495,-0.0034323855977027753,0.9802927256378522,-1.616403792815416
2020-02-26,206.8000030517578,213.0800018310547,206.7899932861328,208.7400054931641,0.015223018693259815,-0.0072636875563387784,-0.0037834751233570964,-0.0026910091769696658,0.9787214439089853,-1.6103677553301372
2020-02-27,205.0099945068359,209.97000122070312,201.86000061035156,205.02999877929688,-0.01777333820175986,-0.01042366920641421,-0.005253976994339405,-0.003127160718496424,0.9743562199647338,-1.7612113749896872
2020-02-28,198.97999572753903,208.9199981689453,198.56100463867188,208.0,0.014485691061726813,-0.009611014011671413,-0.002835419271482929,-0.003223370413470436,0.9701654428845307,-1.5721599950360217
2020-03-02,208.58999633789065,211.11000061035156,203.75599670410156,210.97999572753903,0.014326902536245356,-0.004833505385743553,-0.0015957576061928268,-0.0018760918185789848,0.9742965171359792,-1.1757583031937124
2020-03-03,211.0800018310547,211.38999938964844,202.2400054931641,207.41000366210935,-0.01692099790370649,-0.0035613110410016753,-0.003272757923088178,-0.002493590863825197,0.9768448618318004,-1.085498612588852
2020-03-04,209.4900054931641,212.6999969482422,208.8500061035156,211.9600067138672,0.021937240110994072,0.003986727450039833,-0.004139651446482717,-0.0011973316358934501,0.9822602060924364,-0.6711811700304011
2020-03-05,210.0,215.1499938964844,209.13999938964844,211.4600067138672,-0.0023589355735158524,0.004005062021526514,-0.00299389128306232,-0.0003827125883152081,0.9868761958662917,-0.39621945093818445
2020-03-06,206.6999969482422,207.0,201.1000061035156,204.63999938964844,-0.032251996158531804,-0.002805285387865795,-0.005062876249535196,-0.00013874930779132812,0.9822732903061081,-0.6254421856795895
2020-03-09,195.6199951171875,199.88999938964844,193.92999267578125,197.66000366210935,-0.0341086578789942,-0.0050625333854146075,-0.007770659800273,-0.0021036507013675416,0.9702581270804518,-1.1674463107628759
2020-03-10,205.52999877929688,207.4499969482422,200.8000030517578,206.38999938964844,0.04416672855304915,-0.001109346938236976,-0.005389151594413735,-0.0009436461524721326,0.9735645808184669,-0.8718472003228319
2020-03-11,201.6499938964844,203.1000061035156,196.11000061035156,198.91000366210935,-0.036242045397836486,-0.008356077949962702,-0.006584980104866362,-0.0016228712795127538,0.9701705496087351,-1.0992470717929557
2020-03-12,186.5,190.48699951171875,183.92999267578125,185.1000061035156,-0.06942837114443445,-0.015631501603399673,-0.009539262307173413,-0.0036160241600005287,0.9525050421893511,-2.043992418315392
2020-03-13,194.8999938964844,195.9900054931641,187.80999755859375,194.0,0.04808208321455787,-0.012763655536952509,-0.004248829240176993,-0.0032248843464766793,0.9509584837911256,-1.9348736269663345
2020-03-16,176.14999389648438,188.0,174.5,178.85000610351562,-0.07809275204373389,-0.023599808714567003,-0.009414282391661363,-0.007473976311670893,0.9340947661933651,-2.701337465503376
